index,action,cost,probability,feature_arrival,feature_workload
766,1,1466,0.1,0.11,2000
767,8,516,0.1,0.1,4000
768,8,470,0.1,0.08,0
769,6,480,0.1,0.05,0
770,5,-183,0.1,0.1,0
771,6,-430,0.1,0.15,2000
772,5,-649,0.1,0.15,1000
773,7,-767,0.1,0.2,2000
774,3,-1525,0.1,0.22,1000
775,1,25822,0.1,0.22,3000
776,7,1703,0.1,0.25,12000
777,6,-2529,0.1,0.38,2000
778,3,5472,0.1,0.41,3000
779,10,-2381,0.1,0.42,8000
780,4,-2399,0.1,0.46,4000
781,9,-2512,0.1,0.39,9000
782,5,-3947,0.1,0.52,4000
783,6,-4541,0.1,0.59,5000
784,3,10156,0.1,0.41,7000
785,8,-1321,0.1,0.43,6000
786,2,36715,0.1,0.39,4000
787,1,54665,0.1,0.36,19000
788,4,9868,0.1,0.26,26000
789,8,-295,0.1,0.15,3000
790,10,435,0.1,0.11,0
791,2,-695,0.1,0.1,1000
792,5,-45,0.1,0.08,1000
793,6,489,0.1,0.05,0
794,7,172,0.1,0.1,1000
795,5,-578,0.1,0.15,1000
796,4,-698,0.1,0.15,2000
797,8,-583,0.1,0.2,2000
798,7,-960,0.1,0.22,2000
799,5,-1253,0.1,0.22,2000
800,9,-1000,0.1,0.25,2000
801,7,-2488,0.1,0.38,2000
802,9,-2498,0.1,0.41,3000
803,6,-2888,0.1,0.42,4000
804,7,-3132,0.1,0.46,4000
805,10,-2253,0.1,0.39,6000
806,6,-3730,0.1,0.52,5000
807,5,-4636,0.1,0.59,3000
808,3,3694,0.1,0.41,6000
809,5,-1111,0.1,0.43,11000
810,10,-2335,0.1,0.39,4000
811,4,-2773,0.1,0.36,3000
812,2,-2086,0.1,0.26,5000
813,10,425,0.1,0.15,4000
814,10,545,0.1,0.11,1000
815,7,82,0.1,0.1,1000
816,10,750,0.1,0.08,1000
817,6,490,0.1,0.05,0
818,5,-124,0.1,0.1,0
819,1,9369,0.1,0.15,0
820,8,962,0.1,0.15,6000
821,3,-1360,0.1,0.2,1000
822,5,-1229,0.1,0.22,2000
823,1,19723,0.1,0.22,3000
824,3,3518,0.1,0.25,8000
825,6,-2464,0.1,0.38,3000
826,6,-2933,0.1,0.41,5000
827,3,1663,0.1,0.42,4000
828,1,63734,0.1,0.46,3000
829,8,6220,0.1,0.39,32000
830,5,-3825,0.1,0.52,2000
831,2,74983,0.1,0.59,7000
832,4,23072,0.1,0.41,39000
833,8,-2578,0.1,0.43,7000
834,3,-2945,0.1,0.39,4000
835,7,-1283,0.1,0.36,8000
836,5,-1630,0.1,0.26,3000
837,3,-953,0.1,0.15,2000
838,10,328,0.1,0.11,1000
839,4,-275,0.1,0.1,1000
840,10,782,0.1,0.08,1000
841,6,413,0.1,0.05,0
842,6,9,0.1,0.1,0
843,1,6880,0.1,0.15,1000
844,3,926,0.1,0.15,6000
845,1,20729,0.1,0.2,2000
846,7,1469,0.1,0.22,13000
847,7,-966,0.1,0.22,3000
848,3,-1698,0.1,0.25,4000
849,7,-2446,0.1,0.38,3000
850,8,-2553,0.1,0.41,3000
851,1,58155,0.1,0.42,4000
852,7,5541,0.1,0.46,26000
853,2,37231,0.1,0.39,5000
854,6,7586,0.1,0.52,19000
855,6,-4595,0.1,0.59,3000
856,2,49805,0.1,0.41,5000
857,5,11605,0.1,0.43,29000
858,4,-2974,0.1,0.39,4000
859,9,-2120,0.1,0.36,4000
860,3,-1998,0.1,0.26,4000
861,6,-535,0.1,0.15,1000
862,1,-822,0.1,0.11,2000
863,9,298,0.1,0.1,0
864,7,296,0.1,0.08,1000
865,6,394,0.1,0.05,0
866,10,579,0.1,0.1,0
867,4,-772,0.1,0.15,1000
868,9,-105,0.1,0.15,2000
869,7,-835,0.1,0.2,1000
870,3,-1542,0.1,0.22,3000
871,5,-1341,0.1,0.22,3000
872,6,-1432,0.1,0.25,3000
873,2,38112,0.1,0.38,3000
874,1,60150,0.1,0.41,18000
875,2,58447,0.1,0.42,23000
876,2,66120,0.1,0.46,28000
877,5,11780,0.1,0.39,29000
878,2,65722,0.1,0.52,4000
879,8,11656,0.1,0.59,37000
880,6,-3063,0.1,0.41,7000
881,5,-3344,0.1,0.43,4000
882,5,-2873,0.1,0.39,5000
883,5,-2672,0.1,0.36,2000
884,7,-1504,0.1,0.26,3000
885,1,3861,0.1,0.15,3000
886,4,-539,0.1,0.11,3000
887,7,2,0.1,0.1,2000
888,3,-279,0.1,0.08,1000
889,6,470,0.1,0.05,0
890,7,35,0.1,0.1,0
891,2,-1012,0.1,0.15,1000
892,2,-1051,0.1,0.15,1000
893,7,-837,0.1,0.2,1000
894,5,-1299,0.1,0.22,2000
895,6,-1207,0.1,0.22,3000
896,6,-1314,0.1,0.25,1000
897,2,33078,0.1,0.38,2000
898,1,60390,0.1,0.41,25000
899,5,11201,0.1,0.42,29000
900,7,-3050,0.1,0.46,6000
901,10,-2167,0.1,0.39,6000
902,7,-3622,0.1,0.52,3000
903,10,-4016,0.1,0.59,6000
904,6,-2736,0.1,0.41,6000
905,1,58020,0.1,0.43,3000
906,4,12315,0.1,0.39,35000
907,5,-2669,0.1,0.36,5000
908,3,-1885,0.1,0.26,4000
909,1,5716,0.1,0.15,2000
910,1,-2,0.1,0.11,3000
911,7,-45,0.1,0.1,1000
912,1,-615,0.1,0.08,1000
913,6,463,0.1,0.05,0
914,6,-28,0.1,0.1,1000
915,1,3980,0.1,0.15,1000
916,3,-399,0.1,0.15,3000
917,1,22842,0.1,0.2,1000
918,7,1608,0.1,0.22,13000
919,8,-902,0.1,0.22,2000
920,5,-1448,0.1,0.25,2000
921,2,41744,0.1,0.38,2000
922,8,2815,0.1,0.41,19000
923,9,-2534,0.1,0.42,4000
924,3,21937,0.1,0.46,5000
925,4,2391,0.1,0.39,13000
926,5,-3958,0.1,0.52,3000
927,8,-4423,0.1,0.59,5000
928,5,-3003,0.1,0.41,6000
929,3,7781,0.1,0.43,5000
930,7,-2597,0.1,0.39,6000
931,7,-2359,0.1,0.36,3000
932,9,-1249,0.1,0.26,3000
933,10,29,0.1,0.15,4000
934,3,-505,0.1,0.11,1000
935,3,-429,0.1,0.1,1000
936,6,164,0.1,0.08,1000
937,6,521,0.1,0.05,0
938,3,-545,0.1,0.1,1000
939,8,-178,0.1,0.15,1000
940,1,5951,0.1,0.15,2000
941,9,-583,0.1,0.2,3000
942,2,-1703,0.1,0.22,3000
943,8,-932,0.1,0.22,1000
944,8,-1193,0.1,0.25,1000
945,8,-2182,0.1,0.38,2000
946,1,56091,0.1,0.41,3000
947,1,66095,0.1,0.42,26000
948,2,66834,0.1,0.46,28000
949,1,59350,0.1,0.39,34000
950,7,10119,0.1,0.52,25000
951,6,-4499,0.1,0.59,4000
952,1,55853,0.1,0.41,5000
953,6,6041,0.1,0.43,28000
954,7,-2668,0.1,0.39,4000
955,2,32853,0.1,0.36,4000
956,6,1417,0.1,0.26,10000
957,3,-844,0.1,0.15,1000
958,6,-185,0.1,0.11,2000
959,4,-268,0.1,0.1,1000
960,1,-574,0.1,0.08,1000
961,6,384,0.1,0.05,0
962,5,-227,0.1,0.1,1000
963,3,-957,0.1,0.15,1000
964,3,-982,0.1,0.15,1000
965,1,22599,0.1,0.2,2000
966,9,1460,0.1,0.22,8000
967,5,-1374,0.1,0.22,3000
968,6,-1430,0.1,0.25,2000
969,7,-2415,0.1,0.38,2000
970,10,-2289,0.1,0.41,1000
971,8,-2616,0.1,0.42,5000
972,9,-2914,0.1,0.46,4000
973,7,-2478,0.1,0.39,5000
974,1,76375,0.1,0.52,5000
975,6,9566,0.1,0.59,38000
976,9,-2553,0.1,0.41,6000
977,10,-2499,0.1,0.43,6000
978,5,-2723,0.1,0.39,4000
979,7,-2034,0.1,0.36,3000
980,7,-1319,0.1,0.26,3000
981,5,-519,0.1,0.15,3000
982,2,-717,0.1,0.11,2000
983,7,40,0.1,0.1,2000
984,3,-291,0.1,0.08,1000
985,6,454,0.1,0.05,0
986,10,580,0.1,0.1,0
987,1,11307,0.1,0.15,2000
988,4,-780,0.1,0.15,2000
989,7,-816,0.1,0.2,2000
990,10,-465,0.1,0.22,2000
991,4,-1305,0.1,0.22,2000
992,4,-1713,0.1,0.25,2000
993,6,-2494,0.1,0.38,3000
994,10,-2404,0.1,0.41,4000
995,5,-3050,0.1,0.42,6000
996,5,-3505,0.1,0.46,4000
997,4,-3043,0.1,0.39,3000
998,4,3048,0.1,0.52,3000
999,10,-3823,0.1,0.59,7000
1000,8,-2527,0.1,0.41,6000
1001,6,-3094,0.1,0.43,4000
1002,9,-2371,0.1,0.39,5000
1003,5,-2542,0.1,0.36,3000
1004,10,-1025,0.1,0.26,4000
1005,2,-1032,0.1,0.15,2000
1006,6,-88,0.1,0.11,1000
1007,6,-12,0.1,0.1,2000
1008,10,676,0.1,0.08,1000
1009,6,418,0.1,0.05,0
1010,9,445,0.1,0.1,1000
1011,3,-770,0.1,0.15,1000
1012,9,-62,0.1,0.15,2000
1013,1,21292,0.1,0.2,1000
1014,2,7152,0.1,0.22,12000
1015,2,-714,0.1,0.22,2000
1016,10,-779,0.1,0.25,3000
1017,3,845,0.1,0.38,2000
1018,4,-3015,0.1,0.41,2000
1019,10,-2495,0.1,0.42,4000
1020,8,-3134,0.1,0.46,4000
1021,10,-2235,0.1,0.39,4000
1022,5,-4015,0.1,0.52,2000
1023,8,-4261,0.1,0.59,5000
1024,5,-3047,0.1,0.41,6000
1025,6,-3145,0.1,0.43,4000
1026,7,-2762,0.1,0.39,6000
1027,5,-2762,0.1,0.36,4000
1028,6,-1561,0.1,0.26,4000
1029,8,-233,0.1,0.15,3000
1030,8,227,0.1,0.11,1000
1031,5,-193,0.1,0.1,1000
1032,2,-380,0.1,0.08,0
1033,6,467,0.1,0.05,0
1034,9,423,0.1,0.1,1000
1035,2,-1041,0.1,0.15,1000
1036,1,2526,0.1,0.15,2000
1037,9,100,0.1,0.2,4000
1038,3,-1546,0.1,0.22,2000
1039,10,-505,0.1,0.22,3000
1040,4,-1770,0.1,0.25,2000
1041,5,-2639,0.1,0.38,2000
1042,10,-2474,0.1,0.41,4000
1043,6,-2905,0.1,0.42,4000
1044,10,-2791,0.1,0.46,4000
1045,10,-2022,0.1,0.39,3000
1046,3,41830,0.1,0.52,5000
1047,2,83750,0.1,0.59,21000
1048,8,11263,0.1,0.41,39000
1049,2,49569,0.1,0.43,4000
1050,3,39877,0.1,0.39,22000
1051,3,5956,0.1,0.36,13000
1052,8,-1413,0.1,0.26,6000
1053,1,6458,0.1,0.15,3000
1054,3,-455,0.1,0.11,3000
1055,10,451,0.1,0.1,1000
1056,4,-201,0.1,0.08,1000
1057,6,538,0.1,0.05,0
1058,6,-41,0.1,0.1,0
1059,3,-887,0.1,0.15,2000
1060,7,-334,0.1,0.15,1000
1061,4,-1233,0.1,0.2,2000
1062,10,-636,0.1,0.22,2000
1063,9,-656,0.1,0.22,3000
1064,5,-1467,0.1,0.25,2000
1065,1,50451,0.1,0.38,3000
1066,4,10568,0.1,0.41,30000
1067,3,1823,0.1,0.42,6000
1068,7,-2933,0.1,0.46,8000
1069,6,-2708,0.1,0.39,5000
1070,10,-3470,0.1,0.52,4000
1071,7,-4329,0.1,0.59,4000
1072,10,-2465,0.1,0.41,6000
1073,10,-2478,0.1,0.43,3000
1074,8,-2334,0.1,0.39,5000
1075,7,-2306,0.1,0.36,3000
1076,1,31910,0.1,0.26,3000
1077,8,2681,0.1,0.15,17000
1078,10,434,0.1,0.11,0
1079,10,522,0.1,0.1,1000
1080,1,-519,0.1,0.08,1000
1081,6,518,0.1,0.05,0
1082,6,-15,0.1,0.1,1000
1083,9,-18,0.1,0.15,1000
1084,7,-283,0.1,0.15,1000
1085,9,-445,0.1,0.2,1000
1086,5,-1243,0.1,0.22,2000
1087,10,-552,0.1,0.22,3000
1088,1,27000,0.1,0.25,3000
1089,6,522,0.1,0.38,8000
1090,4,-3078,0.1,0.41,3000
1091,6,-3121,0.1,0.42,4000
1092,8,-3061,0.1,0.46,4000
1093,6,-2596,0.1,0.39,4000
1094,5,-3841,0.1,0.52,3000
1095,5,-4463,0.1,0.59,5000
1096,1,57225,0.1,0.41,6000
1097,8,5540,0.1,0.43,25000
1098,3,2982,0.1,0.39,3000
1099,9,-895,0.1,0.36,7000
1100,1,29250,0.1,0.26,5000
1101,9,3041,0.1,0.15,19000
1102,4,-428,0.1,0.11,1000
1103,1,-817,0.1,0.1,1000
1104,3,-314,0.1,0.08,1000
1105,6,448,0.1,0.05,0
1106,9,490,0.1,0.1,1000
1107,7,-347,0.1,0.15,1000
1108,8,-286,0.1,0.15,1000
1109,8,-677,0.1,0.2,1000
1110,7,-794,0.1,0.22,1000
1111,7,-893,0.1,0.22,2000
1112,10,-772,0.1,0.25,2000
1113,9,-2127,0.1,0.38,3000
1114,7,-2642,0.1,0.41,4000
1115,7,-2915,0.1,0.42,3000
1116,9,-2884,0.1,0.46,4000
1117,1,52230,0.1,0.39,7000
1118,6,8643,0.1,0.52,27000
1119,6,-4496,0.1,0.59,6000
1120,10,-2366,0.1,0.41,6000
1121,3,17274,0.1,0.43,4000
1122,6,-2100,0.1,0.39,9000
1123,4,-2828,0.1,0.36,4000
1124,8,-1267,0.1,0.26,2000
1125,5,-599,0.1,0.15,4000
1126,1,-746,0.1,0.11,0
1127,1,-738,0.1,0.1,2000
1128,9,522,0.1,0.08,1000
1129,6,413,0.1,0.05,0
1130,2,-622,0.1,0.1,0
1131,8,-236,0.1,0.15,2000
1132,5,-537,0.1,0.15,1000
1133,1,12953,0.1,0.2,2000
1134,10,1389,0.1,0.22,10000
1135,2,-1548,0.1,0.22,2000
1136,5,-1515,0.1,0.25,3000
1137,7,-2444,0.1,0.38,3000
1138,8,-2684,0.1,0.41,5000
1139,7,-2812,0.1,0.42,5000
1140,7,-3313,0.1,0.46,5000
1141,6,-2714,0.1,0.39,2000
1142,8,-3604,0.1,0.52,4000
1143,7,-4497,0.1,0.59,6000
1144,3,-1220,0.1,0.41,6000
1145,9,-1585,0.1,0.43,8000
1146,5,-2781,0.1,0.39,3000
1147,5,-2496,0.1,0.36,3000
1148,4,-1874,0.1,0.26,3000
1149,8,-332,0.1,0.15,2000
1150,6,-99,0.1,0.11,3000
1151,1,-736,0.1,0.1,1000
1152,9,531,0.1,0.08,1000
1153,6,506,0.1,0.05,0
1154,5,-161,0.1,0.1,0
1155,3,-935,0.1,0.15,1000
1156,8,-237,0.1,0.15,1000
1157,3,-1322,0.1,0.2,2000
1158,1,22877,0.1,0.22,2000
1159,9,1825,0.1,0.22,13000
1160,8,-1125,0.1,0.25,2000
1161,5,-2602,0.1,0.38,2000
1162,3,10816,0.1,0.41,4000
1163,3,11463,0.1,0.42,10000
1164,1,64680,0.1,0.46,8000
1165,3,29697,0.1,0.39,34000
1166,7,-805,0.1,0.52,12000
1167,10,-3982,0.1,0.59,6000
1168,3,3905,0.1,0.41,5000
1169,10,-979,0.1,0.43,11000
1170,5,-2913,0.1,0.39,4000
1171,6,-2570,0.1,0.36,3000
1172,1,27208,0.1,0.26,3000
1173,10,3386,0.1,0.15,17000
1174,2,-619,0.1,0.11,1000
1175,9,345,0.1,0.1,1000
1176,5,-7,0.1,0.08,1000
1177,6,435,0.1,0.05,0
1178,9,496,0.1,0.1,0
1179,8,-169,0.1,0.15,1000
1180,2,-1092,0.1,0.15,1000
1181,9,-414,0.1,0.2,2000
1182,3,-1452,0.1,0.22,1000
1183,2,-1668,0.1,0.22,2000
1184,1,34638,0.1,0.25,3000
1185,4,7569,0.1,0.38,16000
1186,3,-1398,0.1,0.41,4000
1187,7,-2500,0.1,0.42,9000
1188,1,67479,0.1,0.46,4000
1189,8,6981,0.1,0.39,33000
1190,9,-3282,0.1,0.52,4000
1191,7,-4253,0.1,0.59,5000
1192,10,-2461,0.1,0.41,6000
1193,4,-3206,0.1,0.43,4000
1194,3,14168,0.1,0.39,7000
1195,7,-2357,0.1,0.36,8000
1196,8,-1351,0.1,0.26,4000
1197,6,-581,0.1,0.15,3000
1198,6,-193,0.1,0.11,1000
1199,1,-833,0.1,0.1,1000
1200,10,690,0.1,0.08,2000
1201,6,516,0.1,0.05,0
1202,8,250,0.1,0.1,0
1203,9,-27,0.1,0.15,1000
1204,6,-474,0.1,0.15,2000
1205,4,-1156,0.1,0.2,1000
1206,9,-571,0.1,0.22,1000
1207,5,-1246,0.1,0.22,2000
1208,1,30915,0.1,0.25,3000
1209,9,1807,0.1,0.38,17000
1210,6,-2863,0.1,0.41,4000
1211,2,47348,0.1,0.42,5000
1212,5,13402,0.1,0.46,26000
1213,6,-2649,0.1,0.39,6000
1214,9,-3488,0.1,0.52,3000
1215,5,-2773,0.1,0.59,3000
1216,9,-2548,0.1,0.41,10000
1217,2,52028,0.1,0.43,4000
1218,9,4592,0.1,0.39,23000
1219,6,-2357,0.1,0.36,3000
1220,7,-1341,0.1,0.26,5000
1221,4,-727,0.1,0.15,1000
1222,10,398,0.1,0.11,1000
1223,4,-356,0.1,0.1,1000
1224,10,780,0.1,0.08,1000
1225,6,479,0.1,0.05,0
1226,7,179,0.1,0.1,0
1227,1,12949,0.1,0.15,1000
1228,10,1549,0.1,0.15,6000
1229,2,-1441,0.1,0.2,2000
1230,4,-1354,0.1,0.22,2000
1231,1,23941,0.1,0.22,2000
1232,1,36695,0.1,0.25,11000
1233,9,1131,0.1,0.38,13000
1234,4,-3156,0.1,0.41,4000
1235,3,4715,0.1,0.42,5000
1236,5,-3173,0.1,0.46,8000
1237,6,-2721,0.1,0.39,5000
1238,1,75871,0.1,0.52,4000
1239,6,12751,0.1,0.59,35000
1240,4,-3063,0.1,0.41,7000
1241,1,60476,0.1,0.43,3000
1242,1,64310,0.1,0.39,28000
1243,6,5865,0.1,0.36,30000
1244,8,-1279,0.1,0.26,2000
1245,2,-1079,0.1,0.15,3000
1246,5,-327,0.1,0.11,1000
1247,9,379,0.1,0.1,1000
1248,6,213,0.1,0.08,1000
1249,6,411,0.1,0.05,0
1250,10,560,0.1,0.1,0
1251,5,-641,0.1,0.15,1000
1252,4,-736,0.1,0.15,1000
1253,10,-355,0.1,0.2,1000
1254,5,-1237,0.1,0.22,3000
1255,9,-644,0.1,0.22,2000
1256,3,-1729,0.1,0.25,2000
1257,6,-2471,0.1,0.38,2000
1258,1,57642,0.1,0.41,3000
1259,7,6527,0.1,0.42,32000
1260,2,49636,0.1,0.46,4000
1261,4,19482,0.1,0.39,26000
1262,9,-3427,0.1,0.52,4000
1263,7,-4302,0.1,0.59,4000
1264,5,-3053,0.1,0.41,6000
1265,10,-2472,0.1,0.43,4000
1266,9,-2306,0.1,0.39,4000
1267,10,-1950,0.1,0.36,4000
1268,5,-1649,0.1,0.26,4000
1269,9,-143,0.1,0.15,2000
1270,5,-223,0.1,0.11,2000
1271,5,-233,0.1,0.1,1000
1272,6,210,0.1,0.08,1000
1273,6,433,0.1,0.05,0
1274,4,-309,0.1,0.1,1000
1275,10,160,0.1,0.15,1000
1276,6,-455,0.1,0.15,1000
1277,2,-1419,0.1,0.2,2000
1278,6,-1170,0.1,0.22,2000
1279,2,-1619,0.1,0.22,3000
1280,7,-1316,0.1,0.25,3000
1281,8,-2169,0.1,0.38,2000
1282,9,-2646,0.1,0.41,4000
1283,4,-3200,0.1,0.42,4000
1284,3,29205,0.1,0.46,3000
1285,10,2198,0.1,0.39,17000
1286,6,-3883,0.1,0.52,4000
1287,9,-4016,0.1,0.59,6000
1288,7,-2926,0.1,0.41,6000
1289,2,44111,0.1,0.43,4000
1290,9,4103,0.1,0.39,24000
1291,2,17351,0.1,0.36,3000
1292,10,1418,0.1,0.26,9000
1293,7,-343,0.1,0.15,4000
1294,7,130,0.1,0.11,1000
1295,1,-715,0.1,0.1,1000
1296,8,429,0.1,0.08,1000
1297,6,441,0.1,0.05,0
1298,5,-169,0.1,0.1,1000
1299,2,-1092,0.1,0.15,1000
1300,9,-119,0.1,0.15,1000
1301,10,-398,0.1,0.2,2000
1302,5,-1354,0.1,0.22,3000
1303,9,-631,0.1,0.22,2000
1304,7,-1208,0.1,0.25,3000
1305,9,-2217,0.1,0.38,2000
1306,5,-2991,0.1,0.41,2000
1307,1,55772,0.1,0.42,3000
1308,5,8737,0.1,0.46,27000
1309,2,38654,0.1,0.39,6000
1310,4,29405,0.1,0.52,17000
1311,1,87860,0.1,0.59,14000
1312,7,10335,0.1,0.41,37000
1313,8,-2724,0.1,0.43,4000
1314,7,-2541,0.1,0.39,5000
1315,1,46939,0.1,0.36,4000
1316,10,4676,0.1,0.26,22000
1317,6,-507,0.1,0.15,3000
1318,5,-260,0.1,0.11,1000
1319,7,113,0.1,0.1,1000
1320,8,506,0.1,0.08,1000
1321,6,436,0.1,0.05,0
1322,3,-516,0.1,0.1,0
1323,5,-659,0.1,0.15,1000
1324,9,-154,0.1,0.15,2000
1325,5,-1042,0.1,0.2,1000
1326,7,-1077,0.1,0.22,2000
1327,5,-1128,0.1,0.22,1000
1328,5,-1702,0.1,0.25,1000
1329,1,48362,0.1,0.38,4000
1330,7,6320,0.1,0.41,29000
1331,7,-2843,0.1,0.42,4000
1332,6,-3386,0.1,0.46,4000
1333,8,-2334,0.1,0.39,6000
1334,5,-3923,0.1,0.52,4000
1335,2,76920,0.1,0.59,6000
1336,8,9827,0.1,0.41,45000
1337,4,-3193,0.1,0.43,4000
1338,5,-2803,0.1,0.39,5000
1339,2,38376,0.1,0.36,3000
1340,7,2368,0.1,0.26,14000
1341,8,-287,0.1,0.15,4000
1342,9,312,0.1,0.11,1000
1343,3,-554,0.1,0.1,1000
1344,9,564,0.1,0.08,1000
1345,6,375,0.1,0.05,0
1346,6,-83,0.1,0.1,1000
1347,1,2236,0.1,0.15,2000
1348,3,612,0.1,0.15,6000
1349,8,-676,0.1,0.2,1000
1350,4,-1350,0.1,0.22,2000
1351,9,-787,0.1,0.22,3000
1352,10,-754,0.1,0.25,2000
1353,7,-2324,0.1,0.38,2000
1354,1,55171,0.1,0.41,3000
1355,5,7195,0.1,0.42,23000
1356,10,-2787,0.1,0.46,6000
1357,1,52837,0.1,0.39,6000
1358,9,5268,0.1,0.52,30000
1359,8,-4253,0.1,0.59,6000
1360,10,-2505,0.1,0.41,4000
1361,7,-2941,0.1,0.43,4000
1362,5,-2816,0.1,0.39,5000
1363,4,-2755,0.1,0.36,3000
1364,6,-1545,0.1,0.26,3000
1365,10,-103,0.1,0.15,3000
1366,4,-312,0.1,0.11,1000
1367,6,-72,0.1,0.1,1000
1368,5,13,0.1,0.08,0
1369,6,407,0.1,0.05,0
1370,10,667,0.1,0.1,0
1371,8,-143,0.1,0.15,1000
1372,4,-799,0.1,0.15,1000
1373,3,-1357,0.1,0.2,2000
1374,4,-1492,0.1,0.22,2000
1375,6,-1121,0.1,0.22,3000
1376,4,-1727,0.1,0.25,2000
1377,10,-2042,0.1,0.38,2000
1378,3,4001,0.1,0.41,2000
1379,4,2232,0.1,0.42,14000
1380,8,-2967,0.1,0.46,4000
1381,3,2849,0.1,0.39,4000
1382,10,-2674,0.1,0.52,8000
1383,10,-3917,0.1,0.59,5000
1384,4,-3032,0.1,0.41,6000
1385,3,7760,0.1,0.43,4000
1386,6,-1289,0.1,0.39,10000
1387,9,-2023,0.1,0.36,6000
1388,6,-1353,0.1,0.26,4000
1389,8,-256,0.1,0.15,3000
1390,5,-237,0.1,0.11,1000
1391,5,-152,0.1,0.1,1000
1392,5,-45,0.1,0.08,0
1393,6,463,0.1,0.05,0
1394,4,-272,0.1,0.1,0
1395,2,-1052,0.1,0.15,0
1396,9,-1,0.1,0.15,2000
1397,4,-1209,0.1,0.2,2000
1398,8,-752,0.1,0.22,1000
1399,9,-660,0.1,0.22,2000
1400,6,-1345,0.1,0.25,1000
1401,4,-2836,0.1,0.38,2000
1402,9,-2559,0.1,0.41,6000
1403,5,-2863,0.1,0.42,4000
1404,3,24807,0.1,0.46,5000
1405,4,7056,0.1,0.39,16000
1406,9,-3596,0.1,0.52,6000
1407,2,74010,0.1,0.59,4000
1408,10,6615,0.1,0.41,34000
1409,9,-2715,0.1,0.43,4000
1410,8,-2326,0.1,0.39,4000
1411,6,-2512,0.1,0.36,4000
1412,6,-1406,0.1,0.26,4000
1413,6,-557,0.1,0.15,3000
1414,10,476,0.1,0.11,1000
1415,8,317,0.1,0.1,1000
1416,6,179,0.1,0.08,1000
1417,6,482,0.1,0.05,0
1418,1,-714,0.1,0.1,0
1419,6,-481,0.1,0.15,0
1420,7,-247,0.1,0.15,2000
1421,6,-917,0.1,0.2,2000
1422,2,-1543,0.1,0.22,2000
1423,9,-689,0.1,0.22,4000
1424,3,-1743,0.1,0.25,2000
1425,1,51936,0.1,0.38,1000
1426,6,6445,0.1,0.41,27000
1427,6,-3006,0.1,0.42,6000
1428,6,-3288,0.1,0.46,5000
1429,6,-2659,0.1,0.39,4000
1430,10,-3376,0.1,0.52,4000
1431,7,-4312,0.1,0.59,6000
1432,3,12131,0.1,0.41,7000
1433,7,-1845,0.1,0.43,8000
1434,9,-2393,0.1,0.39,3000
1435,4,-2584,0.1,0.36,4000
1436,9,-1248,0.1,0.26,3000
1437,2,-920,0.1,0.15,3000
1438,3,-714,0.1,0.11,1000
1439,4,-379,0.1,0.1,1000
1440,10,646,0.1,0.08,1000
1441,6,495,0.1,0.05,0
1442,9,302,0.1,0.1,2000
1443,5,-571,0.1,0.15,1000
1444,3,-953,0.1,0.15,1000
1445,9,-430,0.1,0.2,2000
1446,6,-1151,0.1,0.22,3000
1447,4,-1418,0.1,0.22,3000
1448,3,-1816,0.1,0.25,2000
1449,4,-3022,0.1,0.38,3000
1450,3,10196,0.1,0.41,5000
1451,6,-2198,0.1,0.42,8000
1452,10,-2842,0.1,0.46,4000
1453,1,53272,0.1,0.39,5000
1454,5,8729,0.1,0.52,26000
1455,2,73263,0.1,0.59,6000
1456,3,51465,0.1,0.41,43000
1457,7,1877,0.1,0.43,15000
1458,1,54544,0.1,0.39,5000
1459,8,4607,0.1,0.36,25000
1460,10,-988,0.1,0.26,3000
1461,4,-680,0.1,0.15,2000
1462,10,288,0.1,0.11,2000
1463,6,50,0.1,0.1,1000
1464,6,138,0.1,0.08,1000
1465,6,489,0.1,0.05,0
1466,8,289,0.1,0.1,1000
1467,6,-465,0.1,0.15,1000
1468,9,9,0.1,0.15,1000
1469,10,-314,0.1,0.2,2000
1470,9,-622,0.1,0.22,4000
1471,1,21692,0.1,0.22,2000
1472,2,16838,0.1,0.25,11000
1473,10,-998,0.1,0.38,8000
1474,9,-2408,0.1,0.41,5000
1475,5,-3061,0.1,0.42,6000
1476,7,-3219,0.1,0.46,3000
1477,4,-2956,0.1,0.39,6000
1478,8,-3889,0.1,0.52,5000
1479,4,30800,0.1,0.59,5000
1480,3,8854,0.1,0.41,12000
1481,8,-1736,0.1,0.43,8000
1482,9,-2366,0.1,0.39,5000
1483,10,-1943,0.1,0.36,4000
1484,6,-1539,0.1,0.26,2000
1485,8,-301,0.1,0.15,2000
1486,2,-621,0.1,0.11,1000
1487,10,538,0.1,0.1,1000
1488,1,-638,0.1,0.08,1000
1489,6,456,0.1,0.05,0
1490,9,397,0.1,0.1,1000
1491,5,-579,0.1,0.15,1000
1492,10,134,0.1,0.15,1000
1493,4,-1238,0.1,0.2,1000
1494,10,-484,0.1,0.22,2000
1495,5,-1205,0.1,0.22,1000
1496,5,-1568,0.1,0.25,4000
1497,3,9796,0.1,0.38,2000
1498,5,-2751,0.1,0.41,6000
1499,2,46995,0.1,0.42,4000
1500,2,67595,0.1,0.46,30000
1501,1,57470,0.1,0.39,31000
1502,2,78422,0.1,0.52,28000
1503,3,80261,0.1,0.59,33000
1504,5,15854,0.1,0.41,33000
1505,6,-2993,0.1,0.43,4000
1506,9,-2324,0.1,0.39,4000
